    length     expanded size   cdr  WAVE problems filename
     7:50.26       82969196    ---   --   ---xx   BD D2T01.flac
     5:51.33       61994060    ---   --   ---xx   BD D2T02.flac
     7:21.71       77959436    ---   --   ---xx   BD D2T03.flac
     4:11.51       44396396    ---   --   ---xx   BD D2T04.flac
     4:34.58       48470060    ---   --   ---xx   BD D2T05.flac
     5:48.37       61474268    ---   --   ---xx   BD D2T06.flac
     5:32.68       58724780    ---   --   ---xx   BD D2T07.flac
     5:58.73       63322940    ---   --   ---xx   BD D2T08.flac
    47:10.42      499311136 B                     (totals for 8 files, 0.6068 overall compression ratio)
