    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:57.63       52539020 B   ---   --   ---xx   flac  0.6764  Dylan_1991_07_17_Cleveland_CD2_01.flac
     4:30.38       47717420 B   ---   --   ---xx   flac  0.6406  Dylan_1991_07_17_Cleveland_CD2_02.flac
     4:53.55       51814604 B   ---   --   ---xx   flac  0.6768  Dylan_1991_07_17_Cleveland_CD2_03.flac
     4:41.03       49575500 B   ---   --   ---xx   flac  0.6568  Dylan_1991_07_17_Cleveland_CD2_04.flac
     3:52.45       41030684 B   ---   --   ---xx   flac  0.6909  Dylan_1991_07_17_Cleveland_CD2_05.flac
     5:20.30       56518604 B   ---   --   ---xx   flac  0.6619  Dylan_1991_07_17_Cleveland_CD2_06.flac
     4:46.04       50459852 B   ---   --   ---xx   flac  0.6883  Dylan_1991_07_17_Cleveland_CD2_07.flac
     4:13.67       44786828 B   ---   --   ---xx   flac  0.6608  Dylan_1991_07_17_Cleveland_CD2_08.flac
     6:04.00       64209644 B   ---   --   ---xx   flac  0.6652  Dylan_1991_07_17_Cleveland_CD2_09.flac
    43:20.05      458652156 B                            0.6683  (9 files)
