                                        	Left Channel        	Right Channel       
Cursor position (Time)                  	00:00:00.000        	00:00:00.000        
Sample value at cursor (dB)             	-Inf.               	-Inf.               
Minimum sample position (Time)          	00:02:32.694        	00:02:35.805        
Minimum sample value (dB)               	-11.909             	-13.308             
Maximum sample position (Time)          	00:02:33.624        	00:02:33.624        
Maximum sample value (dB)               	-11.443             	-13.200             
RMS level (dB)                          	-27.531             	-28.494             
Average value (dB)                      	-95.538             	-95.607             
Zero crossings (Hz)                     	1,103.08            	1,418.32            
