                                        	Left Channel        	Right Channel       
Cursor position (Time)                  	00:19:52.576        	00:19:52.576        
Sample value at cursor (dB)             	-30.080             	-26.536             
Minimum sample position (Time)          	00:25:15.237        	00:25:17.041        
Minimum sample value (dB)               	-8.724              	-9.295              
Maximum sample position (Time)          	00:25:17.039        	00:25:17.039        
Maximum sample value (dB)               	-9.314              	-8.944              
RMS level (dB)                          	-28.521             	-28.984             
Average value (dB)                      	-95.644             	-95.667             
Zero crossings (Hz)                     	1,146.72            	1,330.39            
