    length     expanded size   cdr  WAVE  probs   filename
     2:52.22      30392588     ---   --    -xx    dylan&band1974-01-14.late.d02t01.shn
     4:04.53      43166300     ---   --    -xx    dylan&band1974-01-14.late.d02t02.shn
     4:47.37      50713868     ---   --    -xx    dylan&band1974-01-14.late.d02t03.shn
     3:28.15      36726524     ---   --    -xx    dylan&band1974-01-14.late.d02t04.shn
     5:49.30      61634204     ---   --    -xx    dylan&band1974-01-14.late.d02t05.shn
     4:22.60      46357964     ---   --    -xx    dylan&band1974-01-14.late.d02t06.shn
     3:36.60      38243564     ---   --    -xx    dylan&band1974-01-14.late.d02t07.shn
     3:57.53      41931500     ---   --    -xx    dylan&band1974-01-14.late.d02t08.shn
     4:32.00      47980844     ---   --    -xx    dylan&band1974-01-14.late.d02t09.shn
     5:13.37      55300268     ---   --    -xx    dylan&band1974-01-14.late.d02t10.shn
     4:44.38      50187020     ---   --    -xx    dylan&band1974-01-14.late.d02t11.shn
     6:15.15      66185324     ---   --    -xx    dylan&band1974-01-14.late.d02t12.shn
     4:22.68      46376780     ---   --    -xx    dylan&band1974-01-14.late.d02t13.shn
    58:07.38     615196748 B                      (totals for 13 files, 0.6867 overall compression ratio)
