    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:51.72        9164896 B   -b-   --   ---xx   flac  0.6288  Dylan_2009_04_02_Erfurt_TM_D1_01.flac
     4:25.05       46757880 B   -b-   --   ---xx   flac  0.6900  Dylan_2009_04_02_Erfurt_TM_D1_02.flac
     4:20.37       45949996 B   -b-   --   ---xx   flac  0.6720  Dylan_2009_04_02_Erfurt_TM_D1_03.flac
     5:00.36       53005360 B   -b-   --   ---xx   flac  0.6750  Dylan_2009_04_02_Erfurt_TM_D1_04.flac
     5:08.38       54419564 B   -b-   --   ---xx   flac  0.6633  Dylan_2009_04_02_Erfurt_TM_D1_05.flac
     7:03.40       74711016 B   -b-   --   ---xx   flac  0.6717  Dylan_2009_04_02_Erfurt_TM_D1_06.flac
     5:54.64       62595116 B   -b-   --   ---xx   flac  0.5720  Dylan_2009_04_02_Erfurt_TM_D1_07.flac
     6:12.43       65722384 B   -b-   --   ---xx   flac  0.6537  Dylan_2009_04_02_Erfurt_TM_D1_08.flac
     5:45.47       60969004 B   -b-   --   ---xx   flac  0.6097  Dylan_2009_04_02_Erfurt_TM_D1_09.flac
     7:30.18       79421484 B   -b-   --   ---xx   flac  0.7008  Dylan_2009_04_02_Erfurt_TM_D1_10.flac
     6:46.65       71770156 B   -b-   --   ---xx   flac  0.6593  Dylan_2009_04_02_Erfurt_TM_D1_11.flac
     7:10.72       76021804 B   -b-   --   ---xx   flac  0.7068  Dylan_2009_04_02_Erfurt_TM_D1_12.flac
     8:33.09       90513452 B   -b-   --   ---xx   flac  0.6392  Dylan_2009_04_02_Erfurt_TM_D1_13.flac
    74:44.19      791022112 B                            0.6592  (13 files)
