    length     expanded size   cdr  WAVE  probs   filename
     6:44.52      71387948     ---   --    ---    01 - Rap.wav
     4:16.73      45330140     ---   --    ---    02 - Solid Rock.wav
     4:59.55      52873004     ---   --    ---    03 - Saving Grace.wav
     4:58.00      52567244     ---   --    ---    04 - Saved.wav
     6:36.67      70012028     ---   --    ---    05 - What Can I Do For You.wav
    10:03.35     106451564     ---   --    ---    06 - In The Garden.wav
    10:13.73     108304940     ---   --    ---    07 - Are You Ready.wav
     6:12.67      65778428     ---   --    ---    08 - Pressing On.wav
    54:06.47        546.17 MB                     (totals for 8 files)
