    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     2:29.34       26363612 B   ---   --   ---xx   flac  0.6143  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\29 Always On My Mind.flac
     0:16.01        2824796 B   ---   --   ---xx   flac  0.7976  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\30 Every Grain Of Sand.flac
     4:51.26       51393596 B   ---   --   ---xx   flac  0.5859  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\31 Every Grain Of Sand.flac
     0:47.08        8309660 B   ---   --   ---xx   flac  0.6015  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\32 Every Grain Of Sand.flac
     0:55.02        9706748 B   ---   --   ---xx   flac  0.5979  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\33 Girl From The North Country.flac
     2:45.03       29113100 B   ---   --   ---xx   flac  0.5740  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\01. (instrumental #1).flac
     0:19.17        3391628 B   ---   --   ---xx   flac  0.7325  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\02. (instrumental #2).flac
     3:27.72       36684188 B   ---   --   ---xx   flac  0.5614  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\03. (instrumental #3).flac
     2:07.67       22560428 B   ---   --   ---xx   flac  0.5408  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\04. (Vocal improvisationJam).flac
     0:47.42        8389628 B   ---   --   ---xx   flac  0.6328  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\05. (instrumental #4).flac
     1:21.43       14389580 B   ---   --   ---xx   flac  0.5729  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\06. (instrumental #5).flac
     0:43.04        7594652 B   ---   --   ---xx   flac  0.5860  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\07. (instrumental #6).flac
     1:13.01       12879596 B   ---   --   ---xx   flac  0.5165  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\08. (instrumental #7).flac
     0:12.35        2199164 B   ---   --   ---xx   flac  0.8446  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\09. War Time (instrumental #1).flac
     0:34.00        5997644 B   ---   --   ---xx   flac  0.6544  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\10. War Time (instrumental #2).flac
     2:14.21       23687036 B   ---   --   ---xx   flac  0.6057  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\11. War Time.flac
     1:21.69       14450732 B   ---   --   ---xx   flac  0.5161  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\12. (instrumental #8).flac
     1:40.51       17759996 B   ---   --   ---xx   flac  0.5325  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\13. (instrumental #9).flac
     2:48.61       29778716 B   ---   --   ---xx   flac  0.5478  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\14. Almost Done #1.flac
     1:25.27       15057548 B   ---   --   ---xx   flac  0.5950  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\15. Almost Done #2.flac
     1:26.14       15203372 B   ---   --   ---xx   flac  0.5659  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\16. Almost Done #3.flac
     0:36.00        6350444 B   ---   --   ---xx   flac  0.5873  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\17. Almost Done #4 (instrumental).flac
     1:25.00       14994044 B   ---   --   ---xx   flac  0.5385  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\18. Almost Done #5 (instrumental).flac
     4:55.45       52143884 B   ---   --   ---xx   flac  0.5901  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\19. Enough Is Enough.flac
     1:36.55       17063804 B   ---   --   ---xx   flac  0.5180  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\20. (instrumental #10).flac
     3:50.05       40583804 B   ---   --   ---xx   flac  0.5639  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\21. Dirty Lies.flac
     4:05.50       43335644 B   ---   --   ---xx   flac  0.5689  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\22. Why Do I Have To Choose (Willie Nelson).flac
     1:47.21       18924236 B   ---   --   ---xx   flac  0.5759  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\23. To Each His Own (Ray EvansJay Livingston).flac
     1:12.69       12863132 B   ---   --   ---xx   flac  0.5949  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\24. (instrumental #11).flac
     5:22.55       56930204 B   ---   --   ---xx   flac  0.6080  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\01. Jokerman.flac
     3:32.00       37396844 B   ---   --   ---xx   flac  0.6120  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\02. All Along The Watchtower.flac
