    length     expanded size   cdr  WAVE problems filename
     4:23.70       46557884    ---   --   ---xx   Track No01.flac
     7:06.05       75158204    ---   --   ---xx   Track No02.flac
     8:30.25       90022844    ---   --   ---xx   Track No03.flac
     6:52.25       72735644    ---   --   ---xx   Track No04.flac
     8:13.35       87047564    ---   --   ---xx   Track No05.flac
     7:06.35       75228764    ---   --   ---xx   Track No06.flac
     7:44.15       81884924    ---   --   ---xx   Track No07.flac
     9:06.47       96424988    ---   --   ---xx   Track No08.flac
    59:03.32      625060816 B                     (totals for 8 files, 0.6039 overall compression ratio)
