    length     expanded size   cdr  WAVE problems filename
    10:24.13      110104220    ---   --   ---xx   01. bd-1993-06-25d1t01.flac
     6:12.11       65646716    ---   --   ---xx   02. bd-1993-06-25d1t02.flac
     8:26.08       89277260    ---   --   ---xx   03. bd-1993-06-25d1t03.flac
     8:58.17       94943228    ---   --   ---xx   04. bd-1993-06-25d1t04.flac
     6:45.60       71583164    ---   --   ---xx   05. bd-1993-06-25d1t05.flac
     7:20.17       77656028    ---   --   ---xx   06. bd-1993-06-25d1t06.flac
     5:05.05       53813804    ---   --   ---xx   07. bd-1993-06-25d1t07.flac
    11:44.56      124317356    ---   --   ---xx   08. bd-1993-06-25d1t08.flac
    64:56.37      687341776 B                     (totals for 8 files, 0.6115 overall compression ratio)
